City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Lebu,CL,2020-12-02 01:58:35,-37.62,-73.65,52.09,78,0,16.69
235,Taltal,CL,2020-12-02 01:58:35,-25.4,-70.48,60.31,77,29,2.04
236,Aklavik,CA,2020-12-02 01:58:35,68.22,-135.01,3.2,84,5,5.82
237,Komsomolskiy,UZ,2020-12-02 01:58:35,40.43,71.72,33.8,86,100,1.12
238,Thinadhoo,MV,2020-12-02 01:58:35,0.53,72.93,82.38,75,89,11.1
239,Barra Do Garcas,BR,2020-12-02 01:57:06,-15.89,-52.26,77.16,49,82,1.86
240,Ancud,CL,2020-12-02 01:58:35,-41.87,-73.82,54.0,93,90,6.93
241,Sambava,MG,2020-12-02 01:58:35,-14.27,50.17,73.47,90,86,3.83
242,Aswan,EG,2020-12-02 01:58:36,24.09,32.91,54.45,40,0,4.65
243,Rawson,AR,2020-12-02 01:58:36,-43.3,-65.1,67.95,30,100,18.84
244,Caohai,CN,2020-12-02 01:58:36,26.87,104.28,40.08,90,100,3.83
245,Medicine Hat,CA,2020-12-02 01:58:36,50.05,-110.67,24.8,73,5,4.7
246,Dikson,RU,2020-12-02 01:58:36,73.51,80.55,29.7,99,100,26.87
247,Margate,GB,2020-12-02 01:58:36,51.38,1.39,46.0,70,50,1.99
248,Corpus Christi,US,2020-12-02 01:55:45,27.8,-97.4,63.0,82,20,8.05
249,Paka,MY,2020-12-02 01:58:36,4.64,103.44,80.6,88,20,4.7
250,Batemans Bay,AU,2020-12-02 01:58:36,-35.72,150.18,73.99,74,100,1.99
251,Stornoway,GB,2020-12-02 01:58:36,58.21,-6.39,45.0,81,20,12.75
252,Leningradskiy,RU,2020-12-02 01:58:36,69.38,178.42,-3.82,84,0,3.83
253,Zhigansk,RU,2020-12-02 01:58:36,66.77,123.37,-11.15,89,100,20.02
254,Tambilil,PH,2020-12-02 01:58:37,5.96,124.67,82.4,78,75,3.36
255,Bengkulu,ID,2020-12-02 01:58:37,-3.8,102.27,81.64,61,9,3.6
256,Uttaradit,TH,2020-12-02 01:58:37,17.67,100.5,75.0,94,26,4.09
257,Cocobeach,GA,2020-12-02 01:58:37,1.0,9.58,73.4,100,20,2.24
258,Pondicherry,IN,2020-12-02 01:58:37,11.93,79.83,75.36,82,100,18.19
259,Pacific Grove,US,2020-12-02 01:57:00,36.62,-121.92,53.6,81,1,5.55
260,Bayir,TR,2020-12-02 01:58:37,37.27,28.22,46.4,93,40,5.82
261,Varzea Da Palma,BR,2020-12-02 01:58:37,-17.6,-44.73,76.12,64,99,1.61
262,Bereda,ES,2020-12-02 01:58:37,43.27,-7.54,50.0,100,100,3.8
263,Clinton,US,2020-12-02 01:53:57,42.59,-82.92,35.01,74,90,11.41
264,Murdochville,CA,2020-12-02 01:58:37,48.96,-65.5,55.4,82,100,13.87
265,Buraydah,SA,2020-12-02 01:58:37,26.33,43.98,59.0,100,75,6.93
266,Barcelos,PT,2020-12-02 01:58:37,41.54,-8.62,53.01,76,0,2.24
267,San Antonio,US,2020-12-02 01:54:51,29.42,-98.49,55.4,46,1,4.7
268,Sawakin,SD,2020-12-02 01:58:37,19.11,37.33,76.06,60,17,7.29
269,Vilhena,BR,2020-12-02 01:58:38,-12.74,-60.15,74.89,66,99,1.32
270,Iqaluit,CA,2020-12-02 01:58:38,63.75,-68.51,14.0,72,75,10.29
271,Usogorsk,RU,2020-12-02 01:58:38,63.41,48.69,23.92,96,100,9.62
272,Auki,SB,2020-12-02 01:58:38,-8.77,160.7,85.28,71,73,2.24
273,Maarianhamina,AX,2020-12-02 01:58:38,60.1,19.93,37.4,86,90,3.36
274,Cabedelo,BR,2020-12-02 01:58:38,-6.98,-34.83,77.0,83,40,6.93
275,Havre-Saint-Pierre,CA,2020-12-02 01:58:38,50.23,-63.6,46.4,100,90,11.41
276,Malidong,PH,2020-12-02 01:58:38,13.01,123.46,84.97,71,100,2.17
277,Daultala,PK,2020-12-02 01:58:38,33.19,73.14,48.2,87,20,10.29
278,Coquimbo,CL,2020-12-02 01:58:38,-29.95,-71.34,55.4,93,0,8.05
279,Fairbanks,US,2020-12-02 01:55:29,64.84,-147.72,37.4,59,75,2.24
280,Saint-Joseph,RE,2020-12-02 01:58:39,-21.37,55.62,77.0,78,90,2.24
281,Naron,ES,2020-12-02 01:58:39,43.52,-8.15,55.0,83,100,13.35
282,General Roca,AR,2020-12-02 01:58:39,-39.03,-67.58,77.0,15,0,14.99
283,Adrar,MR,2020-12-02 01:58:39,20.5,-10.07,75.49,19,88,9.17
284,Mae Hong Son,TH,2020-12-02 01:58:39,19.3,97.97,66.2,93,40,1.03
285,Yelizovo,RU,2020-12-02 01:58:39,53.19,158.38,28.4,42,100,15.66
286,Imbituba,BR,2020-12-02 01:58:39,-28.24,-48.67,69.8,94,75,2.24
